Timestamp,People_Count,Crowd_Status
11:00:06,1,Normal
11:00:07,1,Normal
11:00:08,1,Normal
11:00:09,1,Normal
11:00:10,1,Normal
11:00:11,1,Normal
11:00:12,1,Normal
11:00:13,1,Normal
11:00:14,1,Normal
11:00:15,1,Normal
11:00:16,2,Normal
11:00:17,2,Normal
11:00:18,2,Normal
11:00:19,2,Normal
11:00:20,2,Normal
11:00:21,2,Normal
11:00:22,2,Normal
11:00:23,2,Normal
11:00:24,1,Normal
11:00:25,2,Normal
11:00:26,2,Normal
11:00:27,2,Normal
11:00:28,2,Normal
11:00:29,2,Normal
11:00:30,1,Normal
11:00:31,2,Normal
11:00:32,2,Normal
11:00:33,2,Normal
11:00:34,1,Normal
11:00:35,1,Normal
11:00:36,1,Normal
11:00:37,1,Normal
11:00:38,1,Normal
11:00:39,1,Normal
11:00:40,1,Normal
11:00:41,1,Normal
11:00:42,1,Normal
11:00:43,2,Normal
11:00:44,1,Normal
11:00:45,1,Normal
11:00:46,1,Normal
11:00:47,1,Normal
11:00:48,1,Normal
11:00:49,1,Normal
11:00:50,1,Normal
11:00:51,2,Normal
11:00:52,2,Normal
11:00:53,1,Normal
11:00:54,2,Normal
11:00:55,1,Normal
11:00:56,1,Normal
11:00:57,2,Normal
11:00:58,2,Normal
11:00:59,2,Normal
11:01:00,2,Normal
11:01:01,2,Normal
11:01:02,2,Normal
11:01:03,2,Normal
11:01:04,2,Normal
11:01:05,2,Normal
11:01:06,2,Normal
11:01:07,2,Normal
11:01:08,2,Normal
11:01:09,2,Normal
11:01:10,1,Normal
11:01:11,1,Normal
11:01:12,1,Normal
11:01:13,1,Normal
11:01:14,1,Normal
11:01:15,1,Normal
11:01:16,1,Normal
11:01:17,1,Normal
11:01:18,1,Normal
11:01:19,1,Normal
11:01:20,1,Normal
11:01:21,1,Normal
11:01:22,1,Normal
11:01:23,1,Normal
11:01:24,1,Normal
11:01:25,1,Normal
11:01:26,1,Normal
11:01:27,1,Normal
11:01:28,1,Normal
11:01:29,1,Normal
11:01:30,1,Normal
11:01:31,1,Normal
11:01:32,1,Normal
11:01:33,1,Normal
11:01:34,1,Normal
11:01:35,1,Normal
11:01:36,1,Normal
11:01:37,1,Normal
11:01:38,1,Normal
11:01:39,1,Normal
11:01:40,1,Normal
11:01:41,1,Normal
11:01:42,1,Normal
11:01:43,1,Normal
11:01:44,1,Normal
11:01:45,1,Normal
11:01:46,1,Normal
11:01:47,1,Normal
11:01:48,1,Normal
11:01:49,1,Normal
11:01:50,1,Normal
11:01:51,1,Normal
11:01:52,1,Normal
11:01:53,1,Normal
11:01:54,1,Normal
11:01:55,1,Normal
11:01:56,1,Normal
11:01:57,1,Normal
11:01:58,1,Normal
11:01:59,1,Normal
11:02:00,1,Normal
11:02:01,1,Normal
11:02:02,1,Normal
11:02:03,1,Normal
11:02:04,1,Normal
11:02:05,1,Normal
11:02:06,1,Normal
11:02:07,1,Normal
11:02:08,1,Normal
11:02:09,1,Normal
11:02:10,1,Normal
11:02:11,1,Normal
11:02:12,1,Normal
11:02:13,1,Normal
11:02:14,1,Normal
11:02:15,1,Normal
11:02:16,1,Normal
11:02:17,1,Normal
11:02:18,1,Normal
11:02:19,1,Normal
11:02:20,1,Normal
11:02:21,1,Normal
11:02:22,1,Normal
11:02:23,1,Normal
11:02:24,1,Normal
11:02:25,1,Normal
11:02:26,1,Normal
11:02:27,1,Normal
11:02:28,1,Normal
11:02:29,1,Normal
11:02:30,1,Normal
11:02:31,1,Normal
11:02:32,1,Normal
11:02:33,1,Normal
11:02:34,1,Normal
11:02:35,1,Normal
11:02:36,1,Normal
11:02:37,1,Normal
11:02:38,1,Normal
11:02:39,1,Normal
11:02:40,2,Normal
11:02:41,1,Normal
11:02:42,1,Normal
11:02:43,1,Normal
11:02:44,1,Normal
11:02:45,1,Normal
11:02:46,1,Normal
11:02:47,1,Normal
11:02:48,1,Normal
11:02:49,1,Normal
11:02:50,1,Normal
11:02:51,1,Normal
11:02:52,1,Normal
11:02:53,1,Normal
11:02:54,1,Normal
11:02:55,1,Normal
11:02:56,1,Normal
11:02:57,1,Normal
11:02:58,1,Normal
11:02:59,1,Normal
11:03:00,1,Normal
11:03:01,1,Normal
11:03:02,1,Normal
11:03:03,1,Normal
11:03:04,1,Normal
11:03:05,1,Normal
11:03:06,1,Normal
11:03:07,1,Normal
11:03:08,1,Normal
11:03:09,1,Normal
11:03:10,1,Normal
11:03:11,1,Normal
11:03:12,1,Normal
11:03:13,1,Normal
11:03:14,1,Normal
11:03:15,1,Normal
11:03:16,1,Normal
11:03:17,1,Normal
11:03:18,1,Normal
11:03:19,1,Normal
11:03:20,1,Normal
11:03:21,1,Normal
11:03:22,1,Normal
11:03:23,1,Normal
11:03:24,1,Normal
11:03:25,1,Normal
11:03:26,1,Normal
11:03:27,1,Normal
11:03:28,1,Normal
11:03:29,1,Normal
11:03:30,1,Normal
11:03:31,1,Normal
11:03:32,1,Normal
11:03:33,2,Normal
11:03:34,1,Normal
11:03:35,1,Normal
11:03:36,2,Normal
11:03:37,2,Normal
11:03:38,1,Normal
11:03:39,1,Normal
11:03:40,1,Normal
11:03:41,1,Normal
11:03:42,1,Normal
11:03:43,2,Normal
11:03:44,2,Normal
11:03:45,1,Normal
11:03:46,1,Normal
11:03:47,1,Normal
11:03:48,1,Normal
11:03:49,1,Normal
11:03:50,1,Normal
